"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","dictID","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry81","138","ec:5.4.2.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.4.2.4","rn:R01662",531,521,"rectangle",46,17,"#000000","#BFBFFF",47,"reversible","ec","00010",0,0,0,0,144,6084,2.36686390532544,0.00899197398257549,2,4,0.4,0.000386697602474865,2,0.260869565217392,6,6,7,5,0.000660042867251764,0.000268302694978006,"NHNB"
"entry83","140","ec:6.2.1.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.2.1.1","rn:R00235",96,916,"rectangle",46,17,"#000000","#BFBFFF",48,"irreversible","ec","00010",0,0,0,0,4388,6084,72.1236028928337,0,5,2,0.2,0.000388651379712398,3,0,10,6,7,5,3.54353440216268e-17,3.85528277221727e-07,"NHNB"
"entry84","142","ec:2.7.1.146","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.146","rn:R09084",508,336,"rectangle",46,17,"#000000","#BFBFFF",49,"irreversible","ec","00010",0,0,0,0,118,6084,1.93951347797502,0,3,0,0,0.000864304235090752,1,0,8,6,7,3,3.82047677103447e-17,0.0682377540095575,"NHNB"
"entry85","143","ec:2.7.1.147","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.147","rn:R09085",281,239,"rectangle",46,17,"#000000","#BFBFFF",50,"irreversible","ec","00010",0,0,0,0,362,6084,5.9500328731098,0.00924185463659148,6,10,0.476190476190476,0.000434782608695652,1,9.77427174755082e-17,10,6,7,7,0.152456034615505,0.422419054231714,"NHNB"
"entry86","144","ec:2.7.1.147","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.147","rn:R09086",281,312,"rectangle",46,17,"#000000","#BFBFFF",51,"reversible","ec","00010",0,0,0,0,362,6084,5.9500328731098,0.012374686716792,4,7,0.466666666666667,0.000433463372345037,1,6.54471149876348e-16,10,6,7,6,0.3276918362257,0.343068719082305,"NHNB"
"entry87","145","ec:1.1.2.8","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.2.8","rn:R05198",439,979,"rectangle",46,17,"#000000","#BFBFFF",52,"reversible","ec","00010",0,0,0,0,195,6084,3.2051282051282,0,0,2,0.666666666666667,0.000302480338777979,4,7.90414285581329e-17,11,6,7,3,1.07767199864625e-08,0,"NHNB"
"entry89","147","ec:5.4.2.12","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.4.2.12","rn:R01518",508,630,"rectangle",46,17,"#000000","#BFBFFF",53,"reversible","ec","00010",0,0,0,0,3865,6084,63.5272846811308,0.0209414906313403,2,9,0.428571428571429,0.000385951370127364,2,0.847826086956522,6,6,7,7,0.00172951427067194,9.47415153457939e-05,"NHNB"
"entry90","150","ec:3.1.3.80","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.3.80","rn:R09532",571,630,"rectangle",46,17,"#000000","#BFBFFF",54,"irreversible","ec","00010",0,0,0,0,344,6084,5.65417488494412,0.00482978279030911,1,5,0.5,0.00038550501156515,2,0.902173913043478,7,6,7,5,0.000569575396522529,2.93790712531951e-06,"NHNB"
"entry92","152","ec:1.2.1.90","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.90","rn:R01058 rn:R10860",416,540,"rectangle",46,17,"#000000","#BFBFFF",55,"irreversible","ec","00010",0,0,0,0,83,6084,1.36423405654175,0.00279717150017902,7,12,0.428571428571429,0.000816326530612245,2,7.94102536980288e-17,6,6,7,8,0.00105201440160055,0.00598070548677649,"HNB"
"entry93","154","ec:1.2.7.11","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.7.11","rn:R01196",284,810,"rectangle",46,17,"#000000","#BFBFFF",56,"reversible","ec","00010",0,0,0,0,1687,6084,27.7284681130835,0,0,7,0.333333333333333,0.000302480338777979,3,0.125,9,6,7,7,1.02433660614155e-06,0,"NHNB"
"entry94","156","ec:2.7.1.90","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.90","rn:R02073",558,336,"rectangle",46,17,"#000000","#BFBFFF",57,"reversible","ec","00010",0,0,0,0,1915,6084,31.4760026298488,0,3,0,0,0.000864304235090752,1,0,8,6,7,3,3.82047677103447e-17,0.0682377540095575,"NHNB"
"entry95","157","ec:1.1.5.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.5.5","rn:R09479",487,928,"rectangle",46,17,"#000000","#BFBFFF",58,"irreversible","ec","00010",0,0,0,0,34,6084,0.558842866535174,0,0,2,0.666666666666667,0.000302480338777979,4,1.76947316805418e-17,11,6,7,3,1.07767200768302e-08,0,"NHNB"
